REF_AREA,REF_AREA_LABEL,TIME_PERIOD,CPI_PERC,YEAR,CONTINENT
AFG,Afghanistan,2005-01-01,12.390806,2005,Asia
AFG,Afghanistan,2005-02-01,12.910043,2005,Asia
AFG,Afghanistan,2005-03-01,13.17081,2005,Asia
AFG,Afghanistan,2005-04-01,12.768767,2005,Asia
AFG,Afghanistan,2005-05-01,15.821999,2005,Asia
AFG,Afghanistan,2005-06-01,11.261702,2005,Asia
AFG,Afghanistan,2005-07-01,13.205706,2005,Asia
AFG,Afghanistan,2005-08-01,13.860134,2005,Asia
AFG,Afghanistan,2005-09-01,12.232848,2005,Asia
AFG,Afghanistan,2005-10-01,10.496711,2005,Asia
AFG,Afghanistan,2005-11-01,12.621946,2005,Asia
AFG,Afghanistan,2005-12-01,10.533403,2005,Asia
AFG,Afghanistan,2006-01-01,10.635895,2006,Asia
AFG,Afghanistan,2006-02-01,9.202096,2006,Asia
AFG,Afghanistan,2006-03-01,7.347097,2006,Asia
AFG,Afghanistan,2006-04-01,6.958704,2006,Asia
AFG,Afghanistan,2006-05-01,5.943392,2006,Asia
AFG,Afghanistan,2006-06-01,5.059471,2006,Asia
AFG,Afghanistan,2006-07-01,4.970799,2006,Asia
AFG,Afghanistan,2006-08-01,5.533717,2006,Asia
AFG,Afghanistan,2006-09-01,5.032492,2006,Asia
AFG,Afghanistan,2006-10-01,4.946501,2006,Asia
AFG,Afghanistan,2006-11-01,5.13326,2006,Asia
AFG,Afghanistan,2006-12-01,4.90067,2006,Asia
AFG,Afghanistan,2007-01-01,5.042705,2007,Asia
AFG,Afghanistan,2007-02-01,5.195096,2007,Asia
AFG,Afghanistan,2007-03-01,6.009555,2007,Asia
AFG,Afghanistan,2007-04-01,7.539227,2007,Asia
AFG,Afghanistan,2007-05-01,9.503817,2007,Asia
AFG,Afghanistan,2007-06-01,11.737634,2007,Asia
AFG,Afghanistan,2007-07-01,12.618223,2007,Asia
AFG,Afghanistan,2007-08-01,12.737165,2007,Asia
AFG,Afghanistan,2007-09-01,15.504637,2007,Asia
AFG,Afghanistan,2007-10-01,15.746259,2007,Asia
AFG,Afghanistan,2007-11-01,21.135318,2007,Asia
AFG,Afghanistan,2007-12-01,24.421354,2007,Asia
AFG,Afghanistan,2008-01-01,30.310976,2008,Asia
AFG,Afghanistan,2008-02-01,27.506519,2008,Asia
AFG,Afghanistan,2008-03-01,28.265021,2008,Asia
AFG,Afghanistan,2008-04-01,48.141486,2008,Asia
AFG,Afghanistan,2008-05-01,61.056952,2008,Asia
AFG,Afghanistan,2008-06-01,48.254535,2008,Asia
AFG,Afghanistan,2008-07-01,48.300067,2008,Asia
AFG,Afghanistan,2008-08-01,50.992352,2008,Asia
AFG,Afghanistan,2008-09-01,48.150504,2008,Asia
AFG,Afghanistan,2008-10-01,43.290432,2008,Asia
AFG,Afghanistan,2008-11-01,32.689509,2008,Asia
AFG,Afghanistan,2008-12-01,26.679117,2008,Asia
AFG,Afghanistan,2009-01-01,16.731185,2009,Asia
AFG,Afghanistan,2009-02-01,11.230655,2009,Asia
AFG,Afghanistan,2009-03-01,3.099287,2009,Asia
AFG,Afghanistan,2009-04-01,-14.951265,2009,Asia
AFG,Afghanistan,2009-05-01,-23.910326,2009,Asia
AFG,Afghanistan,2009-06-01,-19.214225,2009,Asia
AFG,Afghanistan,2009-07-01,-20.294408,2009,Asia
AFG,Afghanistan,2009-08-01,-21.005404,2009,Asia
AFG,Afghanistan,2009-09-01,-21.504898,2009,Asia
AFG,Afghanistan,2009-10-01,-19.852365,2009,Asia
AFG,Afghanistan,2009-11-01,-17.939489,2009,Asia
AFG,Afghanistan,2009-12-01,-18.09958,2009,Asia
AFG,Afghanistan,2010-01-01,-17.076821,2010,Asia
AFG,Afghanistan,2010-02-01,-12.453857,2010,Asia
AFG,Afghanistan,2010-03-01,-7.039293,2010,Asia
AFG,Afghanistan,2010-04-01,-2.861015,2010,Asia
AFG,Afghanistan,2010-05-01,-1.356283,2010,Asia
AFG,Afghanistan,2010-06-01,1.073549,2010,Asia
AFG,Afghanistan,2010-07-01,2.627739,2010,Asia
AFG,Afghanistan,2010-08-01,4.113038,2010,Asia
AFG,Afghanistan,2010-09-01,4.833176,2010,Asia
AFG,Afghanistan,2010-10-01,6.136953,2010,Asia
AFG,Afghanistan,2010-11-01,10.294222,2010,Asia
